type,date,price,shares,return
sell,2021-12-20 05:00:00,147.58285522460938,,-0.02811515440545044
buy,2021-12-21 05:00:00,156.10182189941406,58.83215255899199,
sell,2021-12-27 05:00:00,164.374267578125,,0.05299390857873126
buy,2021-12-28 05:00:00,164.41371154785156,58.81803832470679,
sell,2022-01-03 05:00:00,161.61351013183594,,-0.017031434845996066
buy,2022-01-04 05:00:00,165.6560516357422,57.382688642288834,
sell,2022-01-10 05:00:00,159.77955627441406,,-0.03547407597429543
buy,2022-01-11 05:00:00,162.88540649414062,56.28853269569969,
sell,2022-01-18 05:00:00,157.275146484375,,-0.03444298743833407
buy,2022-01-19 05:00:00,152.03953552246094,58.22687628376022,
sell,2022-01-24 05:00:00,153.5579833984375,,0.009987190968182357
buy,2022-01-25 05:00:00,154.82989501953125,57.748548499607416,
sell,2022-01-31 05:00:00,158.86257934570312,,0.026045902347625865
buy,2022-02-01 05:00:00,160.7359619140625,57.075487394805855,
sell,2022-02-07 05:00:00,163.71363830566406,,0.018525265635288123
buy,2022-02-08 05:00:00,169.146484375,55.242269645740215,
sell,2022-02-14 05:00:00,168.92953491210938,,-0.0012826129002459499
buy,2022-02-15 05:00:00,178.66127014160156,52.23320595083606,
sell,2022-02-22 05:00:00,170.6944580078125,,-0.04459171328780326
buy,2022-02-23 05:00:00,165.61659240722656,53.83469524518105,
sell,2022-02-28 05:00:00,167.7562255859375,,0.012919195761798417
buy,2022-03-01 05:00:00,162.59950256347656,55.54202280769693,
sell,2022-03-07 05:00:00,145.98558044433594,,-0.1021769553855479
buy,2022-03-08 05:00:00,150.6492919921875,53.82258576465577,
sell,2022-03-14 04:00:00,159.4936065673828,,0.05870797305608292
buy,2022-03-15 04:00:00,164.068603515625,52.321761351309966,
sell,2022-03-21 04:00:00,167.56887817382812,,0.021334213756928684
buy,2022-03-22 04:00:00,168.18017578125,52.131583362842676,
sell,2022-03-28 04:00:00,169.15631103515625,,0.00580410413636324
buy,2022-03-29 04:00:00,175.8216094970703,50.155304318421294,
sell,2022-04-04 04:00:00,172.20303344726562,,-0.020580951682534696
buy,2022-04-05 04:00:00,171.5621337890625,50.34266802557984,
sell,2022-04-11 04:00:00,160.1739501953125,,-0.06637935389490955
buy,2022-04-12 04:00:00,160.95289611816406,50.09903018525663,
sell,2022-04-18 04:00:00,180.5839385986328,,0.1219676250252531
buy,2022-04-19 04:00:00,186.13504028320312,48.60492778286327,
sell,2022-04-25 04:00:00,179.92332458496094,,-0.033372092050970664
buy,2022-04-26 04:00:00,174.7666015625,50.03908137892841,
sell,2022-05-02 04:00:00,175.6441192626953,,0.005021083504227178
buy,2022-05-03 04:00:00,170.61557006835938,51.513882197238864,
sell,2022-05-09 04:00:00,161.55435180664062,,-0.0531089762680408
